player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Issah Abbas,gh GHA,FW,Mainz 05,1998,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2020,German
David Abraham,ar ARG,DF,Eint Frankfurt,1986,4.7,5,4,1,3,1,0,5,0,5,62,32,51.6,29,25,8,13,2,0,11,5,10,12,0,2020,German
Amir Abrashi,al ALB,MF,Freiburg,1990,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2020,German
Ragnar Ache,de GER,FW,Eint Frankfurt,1998,0.4,0,0,0,0,0,0,2,0,2,14,2,14.3,0,9,5,2,0,0,2,0,0,1,0,2020,German
Tyler Adams,us USA,MF,RB Leipzig,1999,3,10,8,2,6,2,2,4,50,2,58,21,36.2,10,41,7,3,0,0,3,2,12,7,0,2020,German
Sargis Adamyan,am ARM,FW,Hoffenheim,1993,0.5,1,1,0,1,0,0,1,0,1,5,2,40,0,2,3,0,0,0,0,2,3,0,0,2020,German
Manuel Akanji,ch SUI,DF,Dortmund,1995,5,6,4,4,1,1,1,3,33.3,2,41,15,36.6,18,21,2,5,1,0,4,5,11,13,0,2020,German
Kevin Akpoguma,ng NGA,DF,Hoffenheim,1995,6,11,6,8,3,0,4,6,66.7,2,82,28,34.1,39,36,7,19,7,1,12,4,15,15,0,2020,German
David Alaba,at AUT,DF,Bayern Munich,1992,4.1,6,4,1,5,0,0,3,0,3,37,18,48.6,16,19,2,6,3,0,3,6,12,13,1,2020,German
Lucas Alario,ar ARG,FW,Leverkusen,1992,4.4,3,2,1,1,1,0,0,,0,56,15,26.8,1,21,34,3,1,0,2,1,4,6,0,2020,German
Omar Alderete,py PAR,DF,Hertha BSC,1996,2,1,1,0,1,0,0,2,0,2,13,5,38.5,6,7,0,3,3,0,0,1,2,16,0,2020,German
