player,nation_x,pos_x,squad_x,born_x,mp,starts,min,gls_x,ast_x,pk_x,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league_x,nation_y,pos_y,squad_y,born_y,90s_x,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,league_y,nation_x,pos_x,squad_x,born_x,90s_y,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast_y,ppa,crs_pa,prog,league ,nation_y,pos_y,squad_y,born_y,90s,gls_y,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk_y,pk_att,league
Aaron Cresswell,eng ENG,DF,West Ham,1989,36,35,3069,1,3.0,0.0,0.0,7,0,0.03,0.09,0.12,0.03,2017,English,eng ENG,DF,West Ham,1989.0,34.1,36.0,14.0,13.0,17.0,6.0,15.0,29.0,51.7,14.0,358.0,105.0,29.3,203.0,117.0,38.0,50.0,15.0,0.0,35.0,40.0,76.0,78.0,1.0,English,eng ENG,DF,West Ham,1989,34.1,1191.0,1703.0,69.9,23141.0,10252.0,502.0,578.0,86.9,489.0,615.0,79.5,185.0,451.0,41.0,3.0,21.0,12.0,90.0,English,eng ENG,DF,West Ham,1989.0,34.1,1.0,20.0,6.0,30.0,0.59,0.18,0.05,0.17,26.8,7.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,20.0,13.0,6.0,12.0,2.0,4.0,17.0,23.5,13.0,212.0,46.0,21.7,83.0,84.0,45.0,25.0,5.0,0.0,20.0,12.0,32.0,11.0,0.0,English,eng ENG,"MF,FW",Burnley,1987,12.4,202.0,292.0,69.2,3267.0,845.0,106.0,131.0,80.9,79.0,111.0,71.2,13.0,27.0,48.1,2.0,10.0,2.0,21.0,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,0.0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,20.0,13.0,6.0,12.0,2.0,4.0,17.0,23.5,13.0,212.0,46.0,21.7,83.0,84.0,45.0,25.0,5.0,0.0,20.0,12.0,32.0,11.0,0.0,English,eng ENG,"MF,FW",Burnley,1987,12.4,202.0,292.0,69.2,3267.0,845.0,106.0,131.0,80.9,79.0,111.0,71.2,13.0,27.0,48.1,2.0,10.0,2.0,21.0,English,eng ENG,"FW,MF",Everton,1987.0,8.8,0.0,4.0,1.0,25.0,0.45,0.11,0.0,0.0,15.1,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,20.0,13.0,6.0,12.0,2.0,4.0,17.0,23.5,13.0,212.0,46.0,21.7,83.0,84.0,45.0,25.0,5.0,0.0,20.0,12.0,32.0,11.0,0.0,English,eng ENG,"FW,MF",Everton,1987,8.8,148.0,216.0,68.5,2297.0,656.0,89.0,111.0,80.2,51.0,72.0,70.8,7.0,15.0,46.7,0.0,2.0,1.0,16.0,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,0.0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,20.0,13.0,6.0,12.0,2.0,4.0,17.0,23.5,13.0,212.0,46.0,21.7,83.0,84.0,45.0,25.0,5.0,0.0,20.0,12.0,32.0,11.0,0.0,English,eng ENG,"FW,MF",Everton,1987,8.8,148.0,216.0,68.5,2297.0,656.0,89.0,111.0,80.2,51.0,72.0,70.8,7.0,15.0,46.7,0.0,2.0,1.0,16.0,English,eng ENG,"FW,MF",Everton,1987.0,8.8,0.0,4.0,1.0,25.0,0.45,0.11,0.0,0.0,15.1,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"FW,MF",Everton,1987.0,8.8,15.0,8.0,9.0,4.0,2.0,6.0,20.0,30.0,14.0,141.0,27.0,19.1,42.0,73.0,26.0,18.0,1.0,0.0,17.0,7.0,22.0,6.0,0.0,English,eng ENG,"MF,FW",Burnley,1987,12.4,202.0,292.0,69.2,3267.0,845.0,106.0,131.0,80.9,79.0,111.0,71.2,13.0,27.0,48.1,2.0,10.0,2.0,21.0,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,0.0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"FW,MF",Everton,1987.0,8.8,15.0,8.0,9.0,4.0,2.0,6.0,20.0,30.0,14.0,141.0,27.0,19.1,42.0,73.0,26.0,18.0,1.0,0.0,17.0,7.0,22.0,6.0,0.0,English,eng ENG,"MF,FW",Burnley,1987,12.4,202.0,292.0,69.2,3267.0,845.0,106.0,131.0,80.9,79.0,111.0,71.2,13.0,27.0,48.1,2.0,10.0,2.0,21.0,English,eng ENG,"FW,MF",Everton,1987.0,8.8,0.0,4.0,1.0,25.0,0.45,0.11,0.0,0.0,15.1,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"FW,MF",Everton,1987.0,8.8,15.0,8.0,9.0,4.0,2.0,6.0,20.0,30.0,14.0,141.0,27.0,19.1,42.0,73.0,26.0,18.0,1.0,0.0,17.0,7.0,22.0,6.0,0.0,English,eng ENG,"FW,MF",Everton,1987,8.8,148.0,216.0,68.5,2297.0,656.0,89.0,111.0,80.2,51.0,72.0,70.8,7.0,15.0,46.7,0.0,2.0,1.0,16.0,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,0.0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"MF,FW",Burnley,1987,14,13,1118,0,2.0,0.0,0.0,2,0,0.0,0.16,0.16,0.0,2017,English,eng ENG,"FW,MF",Everton,1987.0,8.8,15.0,8.0,9.0,4.0,2.0,6.0,20.0,30.0,14.0,141.0,27.0,19.1,42.0,73.0,26.0,18.0,1.0,0.0,17.0,7.0,22.0,6.0,0.0,English,eng ENG,"FW,MF",Everton,1987,8.8,148.0,216.0,68.5,2297.0,656.0,89.0,111.0,80.2,51.0,72.0,70.8,7.0,15.0,46.7,0.0,2.0,1.0,16.0,English,eng ENG,"FW,MF",Everton,1987.0,8.8,0.0,4.0,1.0,25.0,0.45,0.11,0.0,0.0,15.1,0.0,0.0,0.0,English
Aaron Lennon,eng ENG,"FW,MF",Everton,1987,15,9,793,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2017,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,20.0,13.0,6.0,12.0,2.0,4.0,17.0,23.5,13.0,212.0,46.0,21.7,83.0,84.0,45.0,25.0,5.0,0.0,20.0,12.0,32.0,11.0,0.0,English,eng ENG,"MF,FW",Burnley,1987,12.4,202.0,292.0,69.2,3267.0,845.0,106.0,131.0,80.9,79.0,111.0,71.2,13.0,27.0,48.1,2.0,10.0,2.0,21.0,English,eng ENG,"MF,FW",Burnley,1987.0,12.4,0.0,10.0,4.0,40.0,0.81,0.32,0.0,0.0,16.3,0.0,0.0,0.0,English
