player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Patrick van Aanholt,nl NED,DF,Crystal Palace,1990,1.2,0,2,1,50,1.65,0.83,0,0,25.3,1,0,0,2020,English
Tammy Abraham,eng ENG,FW,Chelsea,1997,3.2,1,10,4,40,3.11,1.25,0.1,0.25,9.1,0,0,0,2020,English
Che Adams,eng ENG,FW,Southampton,1996,7.5,3,17,11,64.7,2.27,1.47,0.18,0.27,13.5,0,0,0,2020,English
Tosin Adarabioyo,eng ENG,DF,Fulham,1997,3,0,2,0,0,0.67,0,0,,9,0,0,0,2020,English
Adrián,es ESP,GK,Liverpool,1987,2,0,0,0,,0,0,,,,0,0,0,2020,English
Sergio Agüero,ar ARG,FW,Manchester City,1988,1.2,0,1,0,0,0.83,0,0,,6.1,0,0,0,2020,English
Ola Aina,ng NGA,DF,Fulham,1996,4,1,1,1,100,0.25,0.25,1,1,21.5,0,0,0,2020,English
Rayan Aït Nouri,fr FRA,DF,Wolves,2001,1,1,2,1,50,2,1,0.5,1,21.3,0,0,0,2020,English
Semi Ajayi,ng NGA,DF,West Brom,1993,6,0,0,0,,0,0,,,,0,0,0,2020,English
Nathan Aké,nl NED,DF,Manchester City,1995,3.2,1,1,1,100,0.31,0.31,1,1,7,0,0,0,2020,English
Marc Albrighton,eng ENG,"DF,MF",Leicester City,1989,1.4,0,0,0,,0,0,,,,0,0,0,2020,English
Thiago Alcántara,es ESP,MF,Liverpool,1991,1.5,0,3,0,0,2,0,0,,24.3,0,0,0,2020,English
Toby Alderweireld,be BEL,DF,Tottenham,1989,4,0,1,0,0,0.25,0,0,,7.8,0,0,0,2020,English
Trent Alexander-Arnold,eng ENG,DF,Liverpool,1998,7,0,11,2,18.2,1.58,0.29,0,0,29.3,5,0,0,2020,English
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,1992,1.9,0,5,2,40,2.69,1.08,0,0,18.8,0,0,0,2020,English
Alisson,br BRA,GK,Liverpool,1992,5,0,0,0,,0,0,,,,0,0,0,2020,English
Allan,br BRA,MF,Everton,1991,6,0,2,1,50,0.33,0.17,0,0,27.7,0,0,0,2020,English
Dele Alli,eng ENG,MF,Tottenham,1996,0.7,0,2,1,50,2.69,1.34,0,0,10.7,0,0,0,2020,English
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,1994,4.4,0,3,0,0,0.69,0,0,,16.8,0,0,0,2020,English
Marcos Alonso,es ESP,DF,Chelsea,1990,2.5,0,2,0,0,0.8,0,0,,25.5,1,0,0,2020,English
Steven Alzate,co COL,MF,Brighton,1998,3.9,0,3,1,33.3,0.77,0.26,0,0,17.2,0,0,0,2020,English
Daniel Amartey,gh GHA,DF,Leicester City,1994,1.6,0,0,0,,0,0,,,,0,0,0,2020,English
Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,2000,3.4,0,2,0,0,0.59,0,0,,23.6,0,0,0,2020,English
Joachim Andersen,dk DEN,DF,Fulham,1996,1,0,1,0,0,1,0,0,,25,0,0,0,2020,English
Felipe Anderson,br BRA,"FW,MF",West Ham,1993,0,0,0,0,,0,0,,,,0,0,0,2020,English
Michail Antonio,eng ENG,FW,West Ham,1990,5.3,3,19,9,47.4,3.56,1.68,0.16,0.33,14.1,0,0,0,2020,English
Alphonse Areola,fr FRA,GK,Fulham,1993,6,0,0,0,,0,0,,,,0,0,0,2020,English
Stuart Armstrong,sco SCO,MF,Southampton,1992,5.7,1,9,2,22.2,1.58,0.35,0.11,0.5,18.9,0,0,0,2020,English
Kepa Arrizabalaga,es ESP,GK,Chelsea,1994,3,0,0,0,,0,0,,,,0,0,0,2020,English
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,1989,7,2,9,5,55.6,1.29,0.72,0.11,0.2,17.2,0,1,1,2020,English
Serge Aurier,ci CIV,DF,Tottenham,1992,2,1,3,2,66.7,1.5,1,0.33,0.5,13.8,0,0,0,2020,English
Jordan Ayew,gh GHA,FW,Crystal Palace,1991,4,0,4,3,75,1,0.75,0,0,14.1,0,0,0,2020,English
Luke Ayling,eng ENG,DF,Leeds United,1991,7,0,4,2,50,0.57,0.29,0,0,19.8,0,0,0,2020,English
