player,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,num_seasons,transfer_fee,pos,pos_num
Ángel Di María,148,131,10925,48,58,1,2,7,1,2.25,2.7,4.95,2.21,6,63000000,FW,1
Alex,70,67,5952,6,1,0,0,10,0,0.3,0.07,0.37,0.3,3,5000000,DF,1
Blaise Matuidi,203,161,14542,23,14,0,0,24,1,0.84,0.56,1.42,0.84,7,8000000,MF,1
David Luiz,56,52,4620,3,2,0,0,10,0,0.12,0.09,0.21,0.12,3,49500000,DF,2
Edinson Cavani,200,171,15058,138,23,20,25,19,1,5.6,1.01,6.6,4.72,7,64500000,FW,1
Ezequiel Lavezzi,107,71,6061,22,5,0,0,7,1,1.41,0.24,1.64,1.41,4,28950000,MF,3
Giovani Lo Celso,38,19,1869,4,2,0,0,3,0,0.2,0.1,0.3,0.2,3,10000000,MF,2
Gonçalo Guedes,8,1,148,0,1,0,0,0,0,0,0.63,0.63,0,2,30000000,FW,1
Gregory van der Wiel,89,79,7096,4,11,0,0,14,1,0.23,0.56,0.8,0.23,4,6000000,DF,2
Grzegorz Krychowiak,11,7,659,0,0,0,0,2,0,0,0,0,0,1,27500000,MF,3
Jérémy Ménez,79,64,5422,14,20,0,0,19,0,0.71,0.84,1.55,0.71,3,8000000,FW,3
Javier Pastore,186,143,12516,29,43,0,0,15,0,1.29,2.36,3.65,1.29,7,42000000,MF,3
Jesé,12,1,293,1,0,1,1,0,0,0.34,0,0.34,0,3,25000000,FW,2
Julian Draxler,95,65,5844,13,17,0,0,16,0,1.15,1.18,2.33,1.15,5,40000000,FW,1
Kévin Gameiro,59,34,3150,19,3,1,1,1,0,1.26,0.18,1.43,1.22,2,11000000,FW,1
Kylian Mbappé,82,70,6383,71,25,3,4,7,1,4.36,1.79,6.15,3.9,4,135000000,FW,1
Layvin Kurzawa,90,72,6502,9,9,0,0,13,1,0.63,0.62,1.24,0.63,6,25000000,DF,1
Lucas Digne,30,29,2606,0,2,0,0,4,0,0,0.14,0.14,0,2,15000000,DF,2
Lucas Moura,153,104,9378,34,30,4,4,9,0,2.54,2.67,5.22,2.37,6,40000000,FW,1
Marco Verratti,5,4,354,0,0,0,0,1,0,0,0,0,0,1,12000000,MF,3
Marquinhos,185,160,14843,15,4,0,0,12,1,0.85,0.17,1.02,0.85,8,31400000,DF,2
Maxwell,145,136,12249,12,17,0,0,5,0,0.51,0.74,1.26,0.51,6,3500000,DF,2
Mohamed Sissoko,25,22,1811,2,1,0,0,8,2,0.1,0.05,0.15,0.1,1,8000000,MF,3
Nenê,79,75,6606,36,24,10,10,10,0,1.22,1.3,2.51,0.92,3,5000000,FW,2
Neymar,56,55,4913,49,29,13,14,12,4,3.28,2.25,5.53,2.49,4,222000000,FW,1
Salvatore Sirigu,109,109,9752,0,0,0,0,3,0,0,0,0,0,3,3900000,GK,4
Serge Aurier,57,54,4851,2,10,0,0,14,2,0.1,0.65,0.74,0.1,3,10000000,DF,2
Thiago Motta,166,146,12466,8,9,0,0,42,4,0.47,0.49,0.96,0.47,7,11500000,MF,3
Thiago Silva,125,122,10453,5,2,0,0,12,0,0.19,0.08,0.28,0.19,5,42000000,DF,3
Yohan Cabaye,39,22,1787,1,3,0,0,9,1,0.09,0.31,0.41,0.09,2,25000000,MF,3
Yuri Berchiche,22,19,1715,2,3,0,0,4,0,0.1,0.16,0.26,0.1,1,16000000,DF,2
Zlatan Ibrahimovic,122,117,10292,113,37,24,27,20,1,3.95,1.3,5.24,3.07,4,21000000,FW,1
