player,nation_x,pos_x,squad_x,born_x,mp,starts,min,gls_x,ast_x,pk_x,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,90s_x,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast_y,ppa,crs_pa,prog,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk_y,pk_att,league
Adrien Rabiot,fr FRA,MF,Paris S-G,1995,33,27,2364,1,4,0,0,2,0,0.04,0.15,0.19,0.04,2017,26.3,51,30,26,20,5,10,31,32.3,21,372,110,29.6,113,189,70,30,9,0,21,30,81,13,0,1978,2168,91.2,33974,8519,909,969,93.8,823,881,93.4,200,238,84,4,24,3,150,25,5,20,0.95,0.19,0.04,0.2,17.4,0,0,0,French
Blaise Matuidi,fr FRA,MF,Paris S-G,1987,2,0,28,0,0,0,0,0,0,0,0,0,0,2017,26.2,55,36,19,24,12,10,39,25.6,29,692,187,27,186,350,156,37,5,0,32,23,78,15,0,1239,1393,88.9,22067,5072,543,592,91.7,553,601,92,128,160,80,1,14,4,93,24,7,29.2,0.92,0.27,0.13,0.43,15.8,0,0,0,Italian
Blaise Matuidi,fr FRA,MF,Paris S-G,1987,2,0,28,0,0,0,0,0,0,0,0,0,0,2017,26.2,55,36,19,24,12,10,39,25.6,29,692,187,27,186,350,156,37,5,0,32,23,78,15,0,13,16,81.3,167,38,10,11,90.9,2,3,66.7,1,1,100,0,0,0,0,24,7,29.2,0.92,0.27,0.13,0.43,15.8,0,0,0,Italian
Christopher Nkunku,fr FRA,"FW,MF",Paris S-G,1997,20,6,633,4,0,0,0,0,0,0.57,0,0.57,0.57,2017,7,4,1,1,2,1,1,10,10,9,134,38,28.4,38,56,40,14,2,0,12,6,10,0,0,323,359,90,5099,1036,162,176,92,133,138,96.4,17,29,58.6,0,6,0,24,24,14,58.3,3.41,1.99,0.17,0.29,14.6,0,0,0,French
Dani Alves,br BRA,DF,Paris S-G,1983,25,23,2065,1,4,0,0,7,1,0.04,0.17,0.22,0.04,2017,22.9,73,52,44,22,7,19,45,42.2,26,354,121,34.2,159,123,72,36,3,0,33,28,101,11,0,1686,1987,84.9,27933,11149,919,997,92.2,530,618,85.8,186,284,65.5,4,63,20,176,30,6,20,1.31,0.26,0.03,0.17,25.5,9,0,0,French
Edinson Cavani,uy URU,FW,Paris S-G,1987,32,30,2581,28,5,3,5,3,0,0.98,0.17,1.15,0.87,2017,28.7,11,7,3,4,4,0,13,0,13,296,80,27,32,91,173,17,3,0,14,8,19,18,0,395,506,78.1,6064,990,217,272,79.8,137,159,86.2,27,41,65.9,5,21,0,38,104,49,47.1,3.63,1.71,0.24,0.51,13.4,5,3,5,French
Giovani Lo Celso,ar ARG,MF,Paris S-G,1996,33,18,1776,4,2,0,0,2,0,0.2,0.1,0.3,0.2,2017,19.7,68,59,25,29,14,18,53,34,35,421,135,32.1,127,190,104,35,5,0,30,20,88,3,0,1387,1549,89.5,25487,5369,576,634,90.9,578,629,91.9,190,219,86.8,2,32,3,119,38,14,36.8,1.93,0.71,0.11,0.29,20.8,0,0,0,French
Javier Pastore,ar ARG,"MF,FW",Paris S-G,1989,25,14,1346,4,4,0,0,2,0,0.27,0.27,0.53,0.27,2017,15,32,19,9,13,10,5,22,22.7,17,232,45,19.4,44,111,77,22,2,0,20,9,41,8,0,810,989,81.9,13268,3673,403,467,86.3,307,354,86.7,75,115,65.2,4,35,4,96,24,10,41.7,1.6,0.67,0.17,0.4,17.4,0,0,0,French
Julian Draxler,de GER,"MF,FW",Paris S-G,1993,30,19,1702,4,5,0,0,1,0,0.21,0.26,0.48,0.21,2017,18.9,15,10,4,6,5,5,28,17.9,23,206,57,27.7,48,102,56,21,2,0,19,27,42,4,0,1239,1361,91,20919,3993,590,624,94.6,493,528,93.4,121,157,77.1,5,25,1,94,23,10,43.5,1.22,0.53,0.17,0.4,13.2,0,0,0,French
Layvin Kurzawa,fr FRA,DF,Paris S-G,1992,20,19,1705,2,2,0,0,1,0,0.11,0.11,0.21,0.11,2017,18.9,42,26,18,16,8,14,37,37.8,23,241,68,28.2,120,78,43,37,5,0,32,23,65,23,1,897,1072,83.7,12597,3899,529,589,89.8,314,373,84.2,23,57,40.4,2,7,2,58,21,4,19,1.11,0.21,0.1,0.5,13.9,0,0,0,French
Lucas Moura,br BRA,FW,Paris S-G,1992,5,0,76,1,1,0,0,1,0,1.18,1.18,2.37,1.18,2017,2.3,2,0,1,1,0,1,2,50,1,23,6,26.1,2,13,8,2,0,0,2,2,4,1,0,39,45,86.7,580,140,19,21,90.5,16,17,94.1,2,5,40,1,1,0,4,5,2,40,2.14,0.86,0,0,25.2,0,0,0,English
Lucas Moura,br BRA,FW,Paris S-G,1992,5,0,76,1,1,0,0,1,0,1.18,1.18,2.37,1.18,2017,2.3,2,0,1,1,0,1,2,50,1,23,6,26.1,2,13,8,2,0,0,2,2,4,1,0,39,45,86.7,580,140,19,21,90.5,16,17,94.1,2,5,40,1,1,0,4,3,2,66.7,3.55,2.37,0.33,0.5,6.1,0,0,0,French
Lucas Moura,br BRA,FW,Paris S-G,1992,5,0,76,1,1,0,0,1,0,1.18,1.18,2.37,1.18,2017,2.3,2,0,1,1,0,1,2,50,1,23,6,26.1,2,13,8,2,0,0,2,2,4,1,0,91,113,80.5,1381,343,54,63,85.7,32,38,84.2,4,8,50,1,5,0,10,5,2,40,2.14,0.86,0,0,25.2,0,0,0,English
Lucas Moura,br BRA,FW,Paris S-G,1992,5,0,76,1,1,0,0,1,0,1.18,1.18,2.37,1.18,2017,2.3,2,0,1,1,0,1,2,50,1,23,6,26.1,2,13,8,2,0,0,2,2,4,1,0,91,113,80.5,1381,343,54,63,85.7,32,38,84.2,4,8,50,1,5,0,10,3,2,66.7,3.55,2.37,0.33,0.5,6.1,0,0,0,French
Marquinhos,br BRA,DF,Paris S-G,1994,26,25,2262,0,1,0,0,1,0,0,0.04,0.04,0,2017,25.1,26,14,17,8,1,7,20,35,13,162,52,32.1,99,51,12,46,22,0,24,11,37,88,0,1481,1585,93.4,30405,9458,460,476,96.6,786,811,96.9,212,266,79.7,1,8,0,55,16,1,6.3,0.64,0.04,0,0,11.2,0,0,0,French
Neymar,br BRA,"FW,MF",Paris S-G,1992,20,20,1797,19,13,4,4,5,2,0.95,0.65,1.6,0.75,2017,20,15,9,3,6,6,7,27,25.9,20,186,53,28.5,12,88,86,10,0,0,10,3,18,0,0,1072,1411,76,16916,6315,604,699,86.4,339,451,75.2,95,192,49.5,13,83,4,198,87,38,43.7,4.36,1.9,0.17,0.39,17.2,15,4,4,French
Presnel Kimpembe,fr FRA,DF,Paris S-G,1995,28,27,2425,0,0,0,0,8,4,0,0,0,0,2017,26.9,37,19,23,12,2,9,12,75,3,146,46,31.5,90,50,6,32,13,0,19,16,53,55,0,1672,1776,94.1,31439,10374,635,665,95.5,815,838,97.3,196,234,83.8,0,4,1,80,13,4,30.8,0.48,0.15,0,0,12.7,0,0,0,French
