player,squad,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league,transfer fee
Neymar,Paris S-G,20,20,1797,19,13,4,4,5,2,0.95,0.65,1.6,0.75,2017,French,222000000
Neymar,Paris S-G,17,16,1439,15,7,5,5,2,0,0.94,0.44,1.38,0.63,2018,French,222000000
Neymar,Paris S-G,15,15,1318,13,6,4,5,4,1,0.89,0.41,1.3,0.61,2019,French,222000000
Neymar,Paris S-G,4,4,359,2,3,0,0,1,1,0.5,0.75,1.25,0.5,2020,French,222000000
Kylian Mbappé,Paris S-G,27,24,2095,13,9,0,0,2,0,0.56,0.39,0.95,0.56,2017,French,135000000
Kylian Mbappé,Paris S-G,29,24,2343,33,7,1,2,5,1,1.27,0.27,1.54,1.23,2018,French,135000000
Kylian Mbappé,Paris S-G,20,17,1513,18,5,0,0,0,0,1.07,0.3,1.37,1.07,2019,French,135000000
Kylian Mbappé,Paris S-G,6,5,432,7,4,2,2,0,0,1.46,0.83,2.29,1.04,2020,French,135000000
Edinson Cavani,Paris S-G,30,25,2299,16,2,2,2,2,0,0.63,0.08,0.7,0.55,2013,French,64500000
Edinson Cavani,Paris S-G,35,30,2628,18,1,3,3,3,1,0.62,0.03,0.65,0.51,2014,French,64500000
Edinson Cavani,Paris S-G,32,24,2309,19,5,0,1,3,0,0.74,0.19,0.94,0.74,2015,French,64500000
Edinson Cavani,Paris S-G,36,35,2965,35,4,7,8,5,0,1.06,0.12,1.18,0.85,2016,French,64500000
Edinson Cavani,Paris S-G,32,30,2581,28,5,3,5,3,0,0.98,0.17,1.15,0.87,2017,French,64500000
Edinson Cavani,Paris S-G,21,20,1671,18,5,4,5,1,0,0.97,0.27,1.24,0.75,2018,French,64500000
Edinson Cavani,Paris S-G,14,7,605,4,1,1,1,2,0,0.6,0.15,0.74,0.45,2019,French,64500000
Ángel Di María,Paris S-G,29,26,2122,10,18,0,0,0,0,0.42,0.76,1.19,0.42,2015,French,63000000
Ángel Di María,Paris S-G,29,24,2036,6,7,0,0,1,1,0.27,0.31,0.57,0.27,2016,French,63000000
Ángel Di María,Paris S-G,30,26,2108,11,7,0,0,1,0,0.47,0.3,0.77,0.47,2017,French,63000000
Ángel Di María,Paris S-G,30,28,2324,12,11,0,0,2,0,0.46,0.43,0.89,0.46,2018,French,63000000
Ángel Di María,Paris S-G,26,23,2000,8,14,1,2,2,0,0.36,0.63,0.99,0.32,2019,French,63000000
Ángel Di María,Paris S-G,4,4,335,1,1,0,0,1,0,0.27,0.27,0.54,0.27,2020,French,63000000
David Luiz,Paris S-G,28,26,2290,2,0,0,0,5,0,0.08,0,0.08,0.08,2014,French,49500000
David Luiz,Paris S-G,25,23,2089,1,2,0,0,4,0,0.04,0.09,0.13,0.04,2015,French,49500000
David Luiz,Paris S-G,3,3,241,0,0,0,0,1,0,0,0,0,0,2016,French,49500000
Javier Pastore,Paris S-G,33,30,2635,13,6,0,0,4,0,0.44,0.2,0.65,0.44,2011,French,42000000
Javier Pastore,Paris S-G,34,30,2474,4,8,0,0,2,0,0.15,0.29,0.44,0.15,2012,French,42000000
Javier Pastore,Paris S-G,29,18,1577,1,3,0,0,2,0,0.06,0.17,0.23,0.06,2013,French,42000000
Thiago Silva,Paris S-G,28,28,2382,3,0,0,0,1,0,0.11,0,0.11,0.11,2013,French,42000000
Javier Pastore,Paris S-G,34,31,2746,5,12,0,0,4,0,0.16,0.39,0.56,0.16,2014,French,42000000
Thiago Silva,Paris S-G,26,26,2308,1,0,0,0,1,0,0.04,0,0.04,0.04,2014,French,42000000
Javier Pastore,Paris S-G,16,11,874,2,6,0,0,1,0,0.21,0.62,0.82,0.21,2015,French,42000000
Javier Pastore,Paris S-G,15,9,864,0,4,0,0,0,0,0,0.42,0.42,0,2016,French,42000000
Javier Pastore,Paris S-G,25,14,1346,4,4,0,0,2,0,0.27,0.27,0.53,0.27,2017,French,42000000
Thiago Silva,Paris S-G,25,24,2115,1,1,0,0,5,0,0.04,0.04,0.09,0.04,2017,French,42000000
Thiago Silva,Paris S-G,25,24,2077,0,1,0,0,4,0,0,0.04,0.04,0,2018,French,42000000
Thiago Silva,Paris S-G,21,20,1571,0,0,0,0,1,0,0,0,0,0,2019,French,42000000
Lucas Moura,Paris S-G,10,9,730,0,3,0,0,1,0,0,0.37,0.37,0,2012,French,40000000
Lucas Moura,Paris S-G,36,18,1937,5,11,0,0,2,0,0.23,0.51,0.74,0.23,2013,French,40000000
Lucas Moura,Paris S-G,29,22,1891,7,5,2,2,2,0,0.33,0.24,0.57,0.24,2014,French,40000000
Lucas Moura,Paris S-G,36,26,2323,9,4,1,1,3,0,0.35,0.15,0.5,0.31,2015,French,40000000
Julian Draxler,Paris S-G,17,12,1012,4,1,0,0,2,0,0.36,0.09,0.44,0.36,2016,French,40000000
Lucas Moura,Paris S-G,37,29,2421,12,6,1,1,0,0,0.45,0.22,0.67,0.41,2016,French,40000000
Julian Draxler,Paris S-G,30,19,1702,4,5,0,0,1,0,0.21,0.26,0.48,0.21,2017,French,40000000
