player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
Aaron Hughes,nir NIR,DF,Fulham,1979,38,38,3404,1,0,0,0,0,0,0.03,0,0.03,0.03,2010,English
Aaron Lennon,eng ENG,"FW,MF",Tottenham,1987,34,25,2361,3,2,0,0,1,0,0.11,0.08,0.19,0.11,2010,English
Aaron Ramsey,wal WAL,MF,Arsenal,1990,7,5,354,1,0,0,0,1,0,0.25,0,0.25,0.25,2010,English
Abdoulaye Faye,sn SEN,"DF,MF",Stoke City,1978,14,12,1127,1,0,0,0,1,0,0.08,0,0.08,0.08,2010,English
Abdoulaye Méïté,ci CIV,DF,West Brom,1980,10,10,855,0,0,0,0,2,0,0,0,0,0,2010,English
Abdul Razak,ci CIV,MF,Manchester City,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,English
Abou Diaby,fr FRA,MF,Arsenal,1986,16,13,954,2,2,0,0,1,1,0.19,0.19,0.38,0.19,2010,English
Ádám Bogdán,hu HUN,GK,Bolton,1987,4,3,323,0,0,0,0,0,0,0,0,0,0,2010,English
Adam Forshaw,eng ENG,MF,Everton,1991,1,0,9,0,0,0,0,0,0,0,0,0,0,2010,English
Adam Hammill,eng ENG,"FW,MF",Wolves,1988,10,7,536,0,0,0,0,0,0,0,0,0,0,2010,English
Adam Johnson,eng ENG,MF,Manchester City,1987,31,15,1542,4,4,0,0,2,0,0.23,0.23,0.47,0.23,2010,English
Adlène Guedioura,dz ALG,MF,Wolves,1985,10,4,368,1,1,0,0,2,0,0.24,0.24,0.49,0.24,2010,English
Adrián López,es ESP,DF,Wigan Athletic,1987,1,1,68,0,0,0,0,0,0,0,0,0,0,2010,English
Ahmed Elmohamady,eg EGY,"DF,MF",Sunderland,1987,36,26,2455,0,0,0,0,1,0,0,0,0,0,2010,English
Alan Hutton,sco SCO,DF,Tottenham,1984,21,19,1706,2,1,0,0,2,0,0.11,0.05,0.16,0.11,2010,English
Alan Smith,eng ENG,"FW,MF",Newcastle Utd,1980,11,7,580,0,0,0,0,3,0,0,0,0,0,2010,English
Aleksandar Kolarov,rs SRB,DF,Manchester City,1985,24,20,1720,1,1,0,0,6,1,0.05,0.05,0.1,0.05,2010,English
