player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
Aaron Ramsey,wal WAL,MF,Arsenal,1990,7,5,354,1,0,0,0,1,0,0.25,0,0.25,0.25,2010,English
Abdul Razak,ci CIV,MF,Manchester City,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,2010,English
Abou Diaby,fr FRA,MF,Arsenal,1986,16,13,954,2,2,0,0,1,1,0.19,0.19,0.38,0.19,2010,English
Adam Johnson,eng ENG,MF,Manchester City,1987,31,15,1542,4,4,0,0,2,0,0.23,0.23,0.47,0.23,2010,English
Aleksandar Kolarov,rs SRB,DF,Manchester City,1985,24,20,1720,1,1,0,0,6,1,0.05,0.05,0.1,0.05,2010,English
Alex,br BRA,DF,Chelsea,1982,15,12,1109,2,0,0,0,3,0,0.16,0,0.16,0.16,2010,English
Alex Song,cm CMR,"DF,MF",Arsenal,1987,31,30,2593,4,1,0,0,8,1,0.14,0.03,0.17,0.14,2010,English
Andrey Arshavin,ru RUS,"FW,MF",Arsenal,1981,37,25,2187,6,11,1,1,1,0,0.25,0.45,0.7,0.21,2010,English
Andy Carroll,eng ENG,FW,Liverpool,1989,7,5,445,2,0,0,0,1,0,0.4,0,0.4,0.4,2010,English
Ashley Cole,eng ENG,DF,Chelsea,1980,38,38,3385,0,4,0,0,4,0,0,0.11,0.11,0,2010,English
Bacary Sagna,fr FRA,DF,Arsenal,1983,33,33,2970,1,2,0,0,3,1,0.03,0.06,0.09,0.03,2010,English
Branislav Ivanovi?,rs SRB,DF,Chelsea,1984,34,32,2827,4,3,0,0,12,0,0.13,0.1,0.22,0.13,2010,English
Cesc Fàbregas,es ESP,"FW,MF",Arsenal,1987,25,22,1880,3,10,0,1,5,0,0.14,0.48,0.62,0.14,2010,English
Christian Poulsen,dk DEN,MF,Liverpool,1980,12,9,742,0,0,0,0,1,0,0,0,0,0,2010,English
Daniel Agger,dk DEN,DF,Liverpool,1984,16,12,1092,0,0,0,0,0,0,0,0,0,0,2010,English
Daniel Pacheco,es ESP,"FW,MF",Liverpool,1991,1,0,6,0,0,0,0,0,0,0,0,0,0,2010,English
Daniel Sturridge,eng ENG,"FW,MF",Chelsea,1989,13,0,160,0,0,0,0,0,0,0,0,0,0,2010,English
David Luiz,br BRA,"DF,MF",Chelsea,1987,12,11,953,2,0,0,0,3,0,0.19,0,0.19,0.19,2010,English
David N'Gog,fr FRA,FW,Liverpool,1989,25,9,1065,2,1,0,0,1,0,0.17,0.08,0.25,0.17,2010,English
David Silva,es ESP,"FW,MF",Manchester City,1986,35,30,2550,4,7,0,0,2,0,0.14,0.25,0.39,0.14,2010,English
Dedryck Boyata,be BEL,DF,Manchester City,1990,7,5,345,0,0,0,0,1,1,0,0,0,0,2010,English
Denílson,br BRA,MF,Arsenal,1988,16,6,629,0,0,0,0,4,0,0,0,0,0,2010,English
Didier Drogba,ci CIV,FW,Chelsea,1978,36,30,2791,11,11,2,3,6,0,0.35,0.35,0.71,0.29,2010,English
Dirk Kuyt,nl NED,"DF,FW",Liverpool,1980,33,32,2815,13,6,5,5,3,0,0.42,0.19,0.61,0.26,2010,English
Edin Džeko,ba BIH,FW,Manchester City,1986,15,8,854,2,2,0,0,0,0,0.21,0.21,0.42,0.21,2010,English
Emmanuel Adebayor,tg TOG,FW,Manchester City,1984,8,2,244,1,0,1,1,0,0,0.37,0,0.37,0,2010,English
Emmanuel Eboué,ci CIV,"DF,MF",Arsenal,1983,13,8,707,1,0,0,0,4,0,0.13,0,0.13,0.13,2010,English
Fábio Aurélio,br BRA,"DF,MF",Liverpool,1979,14,7,570,0,0,0,0,2,0,0,0,0,0,2010,English
Florent Malouda,fr FRA,"FW,MF",Chelsea,1980,38,33,2799,13,5,0,0,1,0,0.42,0.16,0.58,0.42,2010,English
Frank Lampard,eng ENG,MF,Chelsea,1978,24,23,2024,10,2,4,5,2,0,0.44,0.09,0.53,0.27,2010,English
Gaël Clichy,fr FRA,DF,Arsenal,1985,33,33,2970,0,1,0,0,3,0,0,0.03,0.03,0,2010,English
