season,name,transfer_fee,team_from,from_lat,from_long,team_to,to_lat,to_long,league
2013-2014,Mamadou Sakho,19000000,Paris SG,48.8414,2.253,Liverpool F.C.,53.4308,-2.9608,French
2013-2014,Kevin Gameiro,7500000,Paris SG,48.8414,2.253,Sevilla FC,37.3841,-5.9707,French
2013-2014,Edinson Cavani,64500000,S.S.C Napoli,40.8279,14.1931,Paris SG,48.8414,2.253,French
2013-2014,Marquinhos,31400000,A.S. Roma,41.9341,12.4547,Paris SG,48.8414,2.253,French
2013-2014,Yohan Cabaye,25000000,Newcastle United F.C. ,54.9756,-1.6217,Paris SG,48.8414,2.253,French
2013-2014,Lucas Digne,15000000,Lille OSC,50.612,3.1305,Paris SG,48.8414,2.253,French
2013-2014,James Rodriguez,45000000,FC Porto,41.1618,-8.5836,AS Monaco FC,43.7276,7.4157,French
2013-2014,Falcao,43000000,Atletico Madrid,40.4362,-3.5995,AS Monaco FC,43.7276,7.4157,French
2013-2014,Joao Moutinho,25000000,FC Porto,41.1618,-8.5836,AS Monaco FC,43.7276,7.4157,French
2013-2014,Geoffrey Kondogbia,20000000,Sevilla FC,37.3841,-5.9707,AS Monaco FC,43.7276,7.4157,French
2013-2014,Lacina Traore,10000000,Anzhi Makhachkala,42.9078,47.6184,AS Monaco FC,43.7276,7.4157,French
2013-2014,Jeremy Toulalan,5000000,Malaga CF,36.7336,-4.4267,AS Monaco FC,43.7276,7.4157,French
2013-2014,Anthony Martial,5000000,Olympique Lyonnais (Lyon),45.7653,4.982,AS Monaco FC,43.7276,7.4157,French
2013-2014,Nicolas Isimat-Mirin,4000000,Valenciennes FC,50.3484,3.5318,AS Monaco FC,43.7276,7.4157,French
2013-2014,Dejan Lovren,10000000,Olympique Lyonnais (Lyon),45.7653,4.982,Southampton F.C.,50.9058,-1.391,French
2013-2014,Lisandro Lopez,7200000,Olympique Lyonnais (Lyon),45.7653,4.982,Al Gharafa SC,25.3448,51.4405,French
2013-2014,Michel Bastos,4000000,Olympique Lyonnais (Lyon),45.7653,4.982,Al-Ain FC,24.245,55.7171,French
2013-2014,Florian Thauvin,12000000,Lille OSC,50.612,3.1305,Olympique de Marseille (Marseille),43.2698,5.3959,French
2013-2014,Dimitri Payet,8700000,Lille OSC,50.612,3.1305,Olympique de Marseille (Marseille),43.2698,5.3959,French
2013-2014,Giannelli Imbula,7500000,En Avant Guingamp,48.5661,-3.1644,Olympique de Marseille (Marseille),43.2698,5.3959,French
2013-2014,Benjamin Mendy,4000000,Le Havre AC,49.4993,0.1693,Olympique de Marseille (Marseille),43.2698,5.3959,French
2013-2014,Fernandinho,40000000,FC Shakhtar Donetsk,48.020981,37.810146,Manchester City F.C.,53.4831,-2.2004,English 
2013-2014,Stevan Jovetic,26000000,ACF Fiorentina,43.7808,11.2826,Manchester City F.C.,53.4831,-2.2004,English 
2013-2014,Alvaro Negredo,25000000,Sevilla FC,37.3841,-5.9707,Manchester City F.C.,53.4831,-2.2004,English 
2013-2014,Jesus Navas,20000000,Sevilla FC,37.3841,-5.9707,Manchester City F.C.,53.4831,-2.2004,English 
2013-2014,Martin Demichelis,5000000,Atletico Madrid,40.4362,-3.5995,Manchester City F.C.,53.4831,-2.2004,English 
2013-2014,Carlos Tevez,9000000,Manchester City F.C.,53.4831,-2.2004,Juventus F.C,45.1096,7.6412,English 
2013-2014,Juan Mata,44730000,Chelsea F.C.,51.4817,-0.191,Manchester United F.C.,53.4631,-2.2913,English 
